"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
60.815,59.946,58.8058,57.0838,54.9228,52.552,49.73,47.0336,44.147,41.0772,38.343,35.9364,34.2766,33.4648,33.1134,33.0062,32.9794,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754,32.9754
60.8298,58.8624,56.9578,54.7704,52.2174,49.5818,46.642,43.6062,40.5762,37.7222,34.928,32.1166,30.0452,28.4736,27.6796,27.3156,27.1794,27.1282,27.11,27.1028,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984,27.0984
60.9628,58.0764,55.432,52.8376,49.8478,46.7408,43.8358,40.8434,37.7864,34.812,31.9568,29.2308,26.815,24.7024,23.1332,22.128,21.5036,21.2624,21.1816,21.1574,21.1492,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148,21.148
60.6548,57.117,53.895,50.9582,48.0448,44.8892,41.8676,38.8422,35.695,32.6492,29.7238,26.6872,23.9558,21.5028,19.329,17.59,16.434,15.8282,15.523,15.3804,15.3212,15.3094,15.3036,15.303,15.303,15.303,15.303,15.303,15.303,15.303,15.303,15.303,15.303,15.303,15.303,15.303,15.303,15.303,15.303
61.062,57.0872,53.5322,50.353,47.2016,43.9868,40.9422,37.825,34.6552,31.5378,28.3618,25.339,22.2076,19.3866,16.8306,14.7896,13.3324,12.4986,12.0044,11.8038,11.714,11.6858,11.6708,11.6656,11.6662,11.6662,11.6662,11.6662,11.6662,11.6662,11.6662,11.6662,11.6662,11.6662,11.6662,11.6662,11.6662,11.6662,11.6662
60.6436,56.2112,52.5972,49.2908,46.1958,42.9154,39.6588,36.43,33.1668,29.8922,26.8052,23.67,20.5288,17.7658,15.323,13.2692,11.9292,11.1396,10.7302,10.5612,10.4836,10.4658,10.4588,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572,10.4572
61.0608,56.3674,52.6646,49.3,45.9778,42.7262,39.4046,36.1112,32.7694,29.4444,26.2644,23.1116,20.1048,17.385,15.162,13.4854,12.456,11.927,11.6832,11.5858,11.5466,11.5374,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348,11.5348
60.9108,56.133,52.5654,49.479,46.2018,42.8908,39.6112,36.3428,32.9982,29.8208,26.6218,23.6098,20.8938,18.507,16.7082,15.4924,14.8404,14.537,14.4348,14.3994,14.384,14.379,14.377,14.376,14.376,14.376,14.376,14.376,14.376,14.376,14.376,14.376,14.376,14.376,14.376,14.376,14.376,14.376,14.376
60.782,56.1224,52.7776,49.7702,46.6384,43.5936,40.504,37.2988,34.1836,31.1844,28.296,25.4576,22.9566,21.0304,19.6794,18.9372,18.5846,18.4418,18.395,18.374,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658,18.3658
60.8106,56.427,53.4828,50.5668,47.714,44.865,41.9434,39.0144,36.2456,33.3886,30.6132,27.9744,25.7372,24.1814,23.3106,22.928,22.7536,22.7102,22.6974,22.6898,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882,22.6882
60.7772,56.7582,54.211,51.9404,49.4938,46.7842,44.028,41.3634,38.7798,36.1006,33.5282,31.2436,29.4328,28.3366,27.7672,27.5336,27.4488,27.4342,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352,27.4352
