"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
60.6753,59.7726,59.0999,58.3618,57.5389,56.7668,55.9046,55.0719,54.1471,53.1638,52.1906,51.752,51.6714,51.6596,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612,51.6612
60.8174,58.9564,57.2135,55.3373,53.4628,51.4603,49.4695,47.5099,45.4763,43.3533,41.201,39.3848,38.131,37.4564,37.204,37.1046,37.0712,37.0705,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701,37.0701
60.6485,57.4596,54.6682,51.801,48.8709,45.9591,42.9979,40.0291,37.0512,34.0639,31.049,28.0842,25.2863,22.838,20.9836,19.7091,18.9736,18.64,18.5019,18.4621,18.4479,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465,18.4465
60.8357,56.8975,53.5167,50.1528,46.7484,43.452,40.1755,36.8751,33.5824,30.2897,27.0041,23.6707,20.4838,17.5688,15.0529,13.0933,11.8513,11.1962,10.9127,10.8252,10.8007,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937,10.7937
60.7316,56.2182,52.4661,48.8992,45.3637,41.8611,38.3252,34.8167,31.3437,27.8323,24.3565,20.9106,17.668,14.7412,12.3132,10.5878,9.5885,9.1303,8.9486,8.9013,8.8932,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926,8.8926
60.8589,55.8344,51.9222,48.2798,44.6468,41.0533,37.5558,34.0242,30.5527,26.9856,23.471,20.0342,16.8804,14.3652,12.6378,11.6448,11.1592,10.972,10.9197,10.9054,10.9051,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048,10.9048
60.6199,55.4345,51.5734,47.957,44.4696,41.05,37.596,34.169,30.7917,27.4079,23.9731,20.7136,18.0478,16.266,15.3445,14.9548,14.8351,14.8069,14.803,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012,14.8012
60.8351,55.6087,51.7853,48.5048,45.261,42.0221,38.8976,35.7081,32.5664,29.4188,26.1441,23.3189,21.3581,20.3211,19.9598,19.8685,19.8462,19.8439,19.843,19.8428,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422,19.8422
60.7196,55.527,52.0619,49.1953,46.3295,43.5518,40.5989,37.7611,35.0081,32.1805,29.2905,26.99,25.7433,25.2784,25.1648,25.1427,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398,25.1398
60.5354,55.6498,52.6514,50.0655,47.7074,45.28,42.8876,40.4405,38.0047,35.5628,33.0654,31.3182,30.6971,30.5481,30.5191,30.5195,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202,30.5202
